barcode,sku,weight,unit,subCategory,parentCategory,image128,image256,mrp
8901023014468,Good Knight Power Active+,45,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/mrp/images/localcatalog/20191003/24858990.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20191003/24858990.jpg,81.00
8901023014505,Godrej Aer Bathroom Fragarance Variety,10,gm,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/8901023014505.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/8901023014505.jpg,55.00
8901023014512,Godrej Aer Pocket Bathroom Fragrance (Violet Valley Bloom),10,gm,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/359481.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/359481.jpg,55.00
8901023014529,Aer Pocket Morning Misty Meadows,10,gm,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/359479.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/359479.jpg,55.00
8901023014802,Aer Twist Gel Rich Irish Cocktail,45,gm,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/360032.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/360032.jpg,379.00
8901023014819,Aer Click Gel Rch Irish Cocktail,10,gm,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/360033.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/360033.jpg,299.00
8901023015007,Good Knight Cool Gel,50,gm,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/8901023015007.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/8901023015007.jpg,75.00
8901023015021,Good Knight Fabric Rool-On,8,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/8901023015021.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/8901023015021.jpg,75.00
8901023015113,Godrej Car Freshener Rich,10,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/Galaxy128x128/8901023015113.jpg,https://media.goodbox.in/qo/menu-images/Galaxy256x256/8901023015113.jpg,175.00
8901023015175,Hit Gel Stick,20,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/8901023015175.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/8901023015175.jpg,30.00
8901023019715,Good Knight Gold Flash Liquid Vapouriser,1,set,Repellents & Freshener,Household Needs,https://s3-ap-southeast-1.amazonaws.com/media.tsepak.com/New_updates_to_master_catalogue/8901023019715.jpg,https://s3-ap-southeast-1.amazonaws.com/media.tsepak.com/New_updates_to_master_catalogue/8901023019715.jpg,89.00
8901023019722,Good Knigh Gold Flash Liquid Vapouriser,45,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/2020/eezykart+images/8901023019722.jpg,https://media.goodbox.in/qo/menu-images/2020/eezykart+images/8901023019722.jpg,75.00
8901023019739,Good Knigh Gold Flash Liquid Vapouriser Refills Pack,45,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/2020/eezykart+images/8901023019739.jpg,https://media.goodbox.in/qo/menu-images/2020/eezykart+images/8901023019739.jpg,140.00
8901023021954,Goorej per cool pocket,10,gm,Repellents & Freshener,Household Needs,https://s3-ap-southeast-1.amazonaws.com/media.tsepak.com/New_updates_to_master_catalogue/8901023021954.jpg,https://s3-ap-southeast-1.amazonaws.com/media.tsepak.com/New_updates_to_master_catalogue/8901023021954.jpg,55.00
8901023022173,Hit Roach Bomb,6,gm,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/2020/eezykart+images/8901023022173.jpg,https://media.goodbox.in/qo/menu-images/2020/eezykart+images/8901023022173.jpg,25.00
